iter	Passed	Remaining
696	14776	91224
697	14802	91230
698	14824	91216
699	14845	91195
700	14866	91171
701	14885	91137
702	14911	91144
703	14933	91128
704	14953	91100
705	14973	91072
706	14994	91045
707	15013	91011
708	15031	90975
709	15050	90939
710	15069	90905
711	15089	90874
712	15107	90837
713	15126	90802
714	15144	90763
715	15162	90719
716	15181	90683
717	15201	90657
718	15223	90644
719	15242	90611
720	15260	90566
721	15286	90576
722	15307	90555
723	15327	90526
724	15345	90488
725	15363	90445
726	15382	90414
727	15401	90379
728	15420	90343
729	15439	90308
730	15457	90271
731	15479	90254
732	15502	90246
733	15529	90259
734	15556	90271
735	15584	90286
736	15609	90289
737	15636	90301
738	15660	90296
739	15687	90309
740	15714	90320
741	15739	90322
742	15761	90307
743	15781	90278
744	15800	90244
745	15819	90211
746	15843	90201
747	15861	90165
748	15882	90142
749	15900	90102
750	15920	90076
751	15941	90050
752	15962	90030
753	15983	90009
754	16007	90004
755	16029	89986
756	16053	89982
757	16074	89959
758	16096	89938
759	16116	89913
760	16136	89887
761	16157	89863
762	16176	89831
763	16196	89801
764	16215	89767
765	16235	89741
766	16259	89733
767	16280	89712
768	16300	89685
769	16321	89663
770	16341	89632
771	16370	89654
772	16390	89630
773	16412	89609
774	16434	89595
775	16457	89580
776	16479	89567
777	16508	89585
778	16537	89606
779	16566	89630
780	16610	89731
781	16637	89742
782	16666	89762
783	16693	89771
784	16715	89750
785	16738	89738
786	16759	89718
787	16781	89699
788	16803	89685
789	16823	89653
790	16844	89632
791	16865	89607
792	16886	89588
793	16910	89577
794	16930	89549
795	16950	89521
796	16970	89496
797	16992	89476
798	17013	89453
799	17033	89426
800	17055	89410
801	17074	89373
802	17093	89343
803	17114	89319
804	17135	89297
805	17155	89269
806	17177	89250
807	17198	89226
808	17219	89204
809	17241	89185
810	17262	89164
811	17283	89144
812	17302	89111
813	17324	89090
814	17344	89065
815	17364	89034
816	17384	89009
817	17406	88989
818	17433	88999
819	17452	88967
820	17473	88944
821	17493	88914
822	17511	88878
823	17533	88857
824	17553	88830
825	17574	88806
826	17595	88784
827	17615	88760
828	17638	88745
829	17658	88718
830	17677	88687
831	17698	88664
832	17718	88634
833	17742	88626
834	17764	88610
835	17785	88585
836	17804	88556
837	17829	88552
838	17850	88527
839	17871	88508
840	17891	88477
841	17908	88437
842	17926	88399
843	17947	88374
844	17969	88358
845	17988	88325
846	18005	88283
847	18022	88243
848	18042	88212
849	18061	88183
850	18081	88156
851	18100	88123
852	18118	88087
853	18138	88060
854	18157	88026
855	18176	87996
856	18196	87969
857	18214	87932
858	18235	87905
859	18259	87900
860	18277	87864
861	18297	87837
862	18315	87801
863	18335	87773
864	18353	87737
865	18371	87699
866	18389	87660
867	18408	87631
868	18427	87600
869	18445	87564
870	18464	87531
871	18484	87503
872	18501	87464
873	18521	87435
874	18546	87432
875	18564	87398
876	18582	87361
877	18600	87324
878	18620	87295
879	18641	87275
880	18663	87257
881	18683	87233
882	18703	87205
883	18724	87184
884	18747	87168
885	18766	87140
886	18786	87112
887	18806	87086
888	18829	87071
889	18855	87076
890	18876	87053
891	18899	87039
892	18920	87018
893	18941	86994
894	18962	86974
895	18983	86953
896	19002	86918
897	19023	86897
898	19042	86866
899	19064	86849
900	19084	86822
901	19105	86799
902	19125	86775
903	19147	86758
904	19169	86737
905	19189	86712
906	19212	86697
907	19232	86674
908	19252	86646
909	19274	86628
910	19294	86604
911	19316	86583
912	19339	86570
913	19360	86548
914	19381	86527
915	19401	86501
916	19422	86477
917	19442	86455
918	19464	86437
919	19485	86413
920	19509	86406
921	19531	86389
922	19553	86369
923	19573	86342
924	19594	86319
925	19613	86292
926	19634	86268
927	19654	86244
928	19674	86217
