iter	Passed	Remaining
527	49921	44627
528	50011	44528
529	50105	44432
530	50197	44336
531	50282	44233
532	50366	44129
533	50454	44029
534	50539	43926
535	50631	43830
536	50713	43725
537	50796	43620
538	50883	43519
539	50972	43421
540	51055	43317
541	51148	43221
542	51234	43119
543	51323	43021
544	51403	42914
545	51486	42811
546	51578	42714
547	51663	42613
548	51752	42514
549	51842	42416
550	51927	42314
551	52016	42216
552	52111	42122
553	52195	42020
554	52281	41919
555	52362	41814
556	52446	41712
557	52530	41609
558	52612	41506
559	52703	41409
560	52788	41308
561	52883	41215
562	52970	41115
563	53055	41014
564	53143	40915
565	53228	40814
566	53320	40719
567	53405	40618
568	53492	40518
569	53579	40419
570	53675	40327
571	53769	40232
572	53863	40139
573	53950	40040
574	54036	39939
575	54122	39840
576	54215	39745
577	54302	39646
578	54387	39546
579	54473	39446
580	54562	39348
581	54649	39250
582	54734	39149
583	54824	39052
584	54915	38957
585	55001	38857
586	55087	38758
587	55177	38661
588	55261	38560
589	55342	38458
590	55427	38358
591	55518	38262
592	55604	38163
593	55686	38062
594	55771	37961
595	55861	37866
596	55951	37769
597	56038	37671
598	56123	37571
599	56214	37476
600	56300	37377
601	56390	37281
602	56475	37182
603	56571	37089
604	56667	36997
605	56763	36905
606	56857	36812
607	56942	36712
608	57031	36616
609	57121	36520
610	57205	36420
611	57292	36322
612	57386	36229
613	57476	36133
614	57566	36037
615	57650	35937
616	57736	35839
617	57823	35742
618	57907	35642
619	57997	35546
620	58089	35452
621	58174	35353
622	58261	35256
623	58352	35161
624	58441	35065
625	58528	34967
626	58612	34868
627	58713	34779
628	58799	34681
629	58897	34590
630	58983	34492
631	59075	34398
632	59157	34298
633	59253	34206
634	59336	34106
635	59419	34007
636	59505	33910
637	59594	33813
638	59682	33717
639	59772	33622
640	59854	33522
641	59937	33423
642	60024	33326
643	60111	33229
644	60196	33131
645	60277	33031
646	60375	32940
647	60459	32842
648	60541	32742
649	60632	32648
650	60721	32552
651	60808	32456
652	60892	32357
653	60979	32261
654	61068	32166
655	61155	32069
656	61237	31970
657	61319	31871
658	61405	31774
659	61494	31678
660	61577	31580
661	61661	31482
662	61754	31389
663	61837	31291
664	61923	31194
665	62007	31096
666	62093	31000
667	62181	30904
668	62276	30812
669	62361	30715
670	62448	30619
671	62537	30524
672	62625	30428
673	62724	30338
674	62812	30242
675	62897	30145
676	62982	30049
677	63072	29954
678	63159	29858
679	63243	29761
680	63332	29666
681	63418	29570
682	63500	29472
683	63588	29377
684	63674	29280
685	63767	29188
686	63864	29097
687	63968	29008
688	64062	28916
689	64148	28820
690	64236	28725
691	64335	28635
692	64430	28542
693	64519	28448
694	64609	28353
695	64704	28261
696	64812	28175
697	64908	28083
698	64996	27988
699	65083	27893
700	65178	27800
701	65267	27705
702	65353	27610
703	65444	27516
704	65534	27422
705	65623	27327
706	65717	27235
707	65810	27141
708	65899	27047
709	65994	26955
710	66087	26862
711	66178	26768
712	66264	26673
713	66355	26579
714	66446	26485
715	66538	26392
716	66632	26299
717	66725	26207
718	66829	26118
719	66922	26025
720	67020	25934
721	67116	25842
722	67213	25751
723	67307	25658
724	67397	25564
725	67488	25470
726	67587	25380
727	67675	25285
728	67760	25189
729	67854	25096
730	67941	25001
731	68026	24905
732	68113	24810
733	68196	24714
734	68282	24618
735	68368	24523
736	68453	24427
